,S_ID,Model,I_ID,Date,Offer,Month_id,Processor,OS,RAM,Year,,Sales
0,1,vostro,asia,2015-01-01,no,1,i9,Windows,4,2015,,3
1,2,vostro,asia,2015-01-02,no,1,i3,Windows,8,2015,,14
2,3,vostro,asia,2015-01-03,no,1,i3,Windows,16,2015,,12
3,4,vostro,asia,2015-01-04,no,1,i7,Windows,8,2015,,9
4,5,vostro,asia,2015-01-05,no,1,i3,Windows,16,2015,,6
5,6,vostro,asia,2015-01-06,no,1,i7,Windows,16,2015,,7
6,7,vostro,asia,2015-01-07,no,1,i5,linux,16,2015,,13
7,8,vostro,asia,2015-01-08,no,1,i9,Windows,4,2015,,7
8,9,vostro,asia,2015-01-09,no,1,i5,linux,8,2015,,12
9,10,vostro,asia,2015-01-10,no,1,i9,linux,4,2015,,12
10,11,vostro,asia,2015-01-11,no,1,i3,Windows,8,2015,,10
11,12,vostro,asia,2015-01-12,no,1,i7,linux,4,2015,,8
12,13,vostro,asia,2015-01-13,no,1,i3,Windows,8,2015,,10
13,14,vostro,asia,2015-01-14,no,1,i5,linux,4,2015,,8
14,15,vostro,asia,2015-01-15,no,1,i7,Windows,8,2015,,7
15,16,vostro,asia,2015-01-16,no,1,i5,linux,8,2015,,10
16,17,vostro,asia,2015-01-17,no,1,i9,Windows,4,2015,,11
17,18,vostro,asia,2015-01-18,no,1,i9,Windows,8,2015,,11
18,19,vostro,asia,2015-01-19,no,1,i5,Windows,4,2015,,15
19,20,vostro,asia,2015-01-20,no,1,i5,linux,16,2015,,14
20,21,vostro,asia,2015-01-21,no,1,i9,linux,16,2015,,12
21,22,vostro,asia,2015-01-22,no,1,i9,linux,16,2015,,12
22,23,vostro,asia,2015-01-23,no,1,i9,linux,8,2015,,11
23,24,vostro,asia,2015-01-24,no,1,i5,linux,8,2015,,10
24,25,vostro,asia,2015-01-25,no,1,i5,Windows,4,2015,,11
25,26,vostro,asia,2015-01-26,no,1,i5,Windows,16,2015,,11
26,27,vostro,asia,2015-01-27,no,1,i9,linux,8,2015,,7
27,28,vostro,asia,2015-01-28,no,1,i9,Windows,8,2015,,11
28,29,vostro,asia,2015-01-29,no,1,i7,linux,16,2015,,10
29,30,vostro,asia,2015-01-30,no,1,i5,linux,16,2015,,8
30,31,vostro,asia,2015-01-31,no,1,i9,linux,16,2015,,6
31,32,vostro,asia,2015-02-01,no,2,i9,linux,8,2015,,5
32,33,vostro,asia,2015-02-02,no,2,i7,Windows,8,2015,,9
33,34,vostro,asia,2015-02-03,no,2,i3,linux,4,2015,,7
34,35,vostro,asia,2015-02-04,no,2,i9,Windows,16,2015,,15
35,36,vostro,asia,2015-02-05,no,2,i3,linux,8,2015,,11
36,37,vostro,asia,2015-02-06,no,2,i3,Windows,4,2015,,13
37,38,vostro,asia,2015-02-07,no,2,i5,Windows,8,2015,,11
38,39,vostro,asia,2015-02-08,no,2,i9,Windows,16,2015,,3
39,40,vostro,asia,2015-02-09,no,2,i7,linux,4,2015,,15
40,41,vostro,asia,2015-02-10,no,2,i7,Windows,4,2015,,12
41,42,vostro,asia,2015-02-11,no,2,i3,Windows,16,2015,,7
42,43,vostro,asia,2015-02-12,no,2,i3,linux,8,2015,,7
43,44,vostro,asia,2015-02-13,no,2,i3,Windows,16,2015,,14
44,45,vostro,asia,2015-02-14,no,2,i3,Windows,8,2015,,10
45,46,vostro,asia,2015-02-15,no,2,i9,Windows,8,2015,,7
46,47,vostro,asia,2015-02-16,no,2,i9,Windows,8,2015,,9
47,48,vostro,asia,2015-02-17,no,2,i5,Windows,16,2015,,7
48,49,vostro,asia,2015-02-18,no,2,i5,linux,4,2015,,9
49,50,vostro,asia,2015-02-19,no,2,i7,linux,16,2015,,9
50,51,vostro,asia,2015-02-20,no,2,i3,Windows,4,2015,,12
51,52,vostro,asia,2015-02-21,no,2,i5,linux,8,2015,,14
52,53,vostro,asia,2015-02-22,no,2,i5,linux,4,2015,,13
53,54,vostro,asia,2015-02-23,no,2,i9,linux,4,2015,,6
54,55,vostro,asia,2015-02-24,no,2,i5,Windows,4,2015,,13
55,56,vostro,asia,2015-02-25,no,2,i3,Windows,4,2015,,17
56,57,vostro,asia,2015-02-26,no,2,i3,linux,8,2015,,16
57,58,vostro,asia,2015-02-27,no,2,i5,linux,4,2015,,10
58,59,vostro,asia,2015-02-28,no,2,i5,linux,4,2015,,16
59,60,vostro,asia,2015-03-01,no,3,i3,linux,16,2015,,16
60,61,vostro,asia,2015-03-02,no,3,i5,Windows,4,2015,,7
61,62,vostro,asia,2015-03-03,no,3,i9,linux,8,2015,,12
62,63,vostro,asia,2015-03-04,no,3,i5,linux,4,2015,,11
63,64,vostro,asia,2015-03-05,no,3,i9,Windows,8,2015,,9
64,65,vostro,asia,2015-03-06,no,3,i9,linux,8,2015,,9
65,66,vostro,asia,2015-03-07,no,3,i5,Windows,16,2015,,11
66,67,vostro,asia,2015-03-08,no,3,i5,linux,8,2015,,10
67,68,vostro,asia,2015-03-09,no,3,i5,linux,4,2015,,7
68,69,vostro,asia,2015-03-10,no,3,i7,linux,4,2015,,11
69,70,vostro,asia,2015-03-11,no,3,i5,Windows,4,2015,,7
70,71,vostro,asia,2015-03-12,no,3,i9,linux,16,2015,,4
71,72,vostro,asia,2015-03-13,no,3,i5,Windows,16,2015,,7
72,73,vostro,asia,2015-03-14,no,3,i3,Windows,16,2015,,10
73,74,vostro,asia,2015-03-15,no,3,i9,linux,4,2015,,9
74,75,vostro,asia,2015-03-16,no,3,i5,Windows,4,2015,,23
75,76,vostro,asia,2015-03-17,no,3,i3,Windows,4,2015,,15
76,77,vostro,asia,2015-03-18,no,3,i9,linux,16,2015,,14
77,78,vostro,asia,2015-03-19,no,3,i9,Windows,8,2015,,9
78,79,vostro,asia,2015-03-20,no,3,i3,Windows,4,2015,,7
79,80,vostro,asia,2015-03-21,no,3,i3,linux,16,2015,,7
80,81,vostro,asia,2015-03-22,no,3,i3,Windows,4,2015,,12
81,82,vostro,asia,2015-03-23,no,3,i9,linux,16,2015,,12
82,83,vostro,asia,2015-03-24,no,3,i9,Windows,16,2015,,7
83,84,vostro,asia,2015-03-25,no,3,i7,Windows,16,2015,,9
84,85,vostro,asia,2015-03-26,no,3,i5,linux,16,2015,,12
85,86,vostro,asia,2015-03-27,no,3,i3,Windows,4,2015,,8
86,87,vostro,asia,2015-03-28,no,3,i7,Windows,16,2015,,6
87,88,vostro,asia,2015-03-29,no,3,i9,Windows,8,2015,,14
88,89,vostro,asia,2015-03-30,no,3,i5,linux,4,2015,,8
89,90,vostro,asia,2015-03-31,no,3,i7,Windows,4,2015,,10
90,91,vostro,asia,2015-04-01,no,4,i9,linux,16,2015,,9
91,92,vostro,asia,2015-04-02,no,4,i9,linux,16,2015,,19
92,93,vostro,asia,2015-04-03,no,4,i3,Windows,16,2015,,6
93,94,vostro,asia,2015-04-04,no,4,i9,linux,16,2015,,11
94,95,vostro,asia,2015-04-05,no,4,i9,Windows,16,2015,,14
95,96,vostro,asia,2015-04-06,no,4,i9,Windows,4,2015,,14
96,97,vostro,asia,2015-04-07,no,4,i9,linux,4,2015,,5
97,98,vostro,asia,2015-04-08,no,4,i7,Windows,8,2015,,13
98,99,vostro,asia,2015-04-09,no,4,i7,linux,4,2015,,13
99,100,vostro,asia,2015-04-10,no,4,i9,Windows,4,2015,,17
100,101,vostro,asia,2015-04-11,no,4,i5,linux,8,2015,,9
101,102,vostro,asia,2015-04-12,summer,4,i5,Windows,4,2015,,19
102,103,vostro,asia,2015-04-13,summer,4,i3,linux,4,2015,,8
103,104,vostro,asia,2015-04-14,summer,4,i9,Windows,16,2015,,18
104,105,vostro,asia,2015-04-15,summer,4,i7,Windows,16,2015,,11
105,106,vostro,asia,2015-04-16,summer,4,i5,Windows,4,2015,,8
106,107,vostro,asia,2015-04-17,summer,4,i9,linux,16,2015,,16
107,108,vostro,asia,2015-04-18,summer,4,i5,Windows,16,2015,,8
108,109,vostro,asia,2015-04-19,no,4,i9,Windows,4,2015,,9
109,110,vostro,asia,2015-04-20,no,4,i5,linux,8,2015,,14
110,111,vostro,asia,2015-04-21,no,4,i3,Windows,16,2015,,10
111,112,vostro,asia,2015-04-22,no,4,i3,Windows,4,2015,,8
112,113,vostro,asia,2015-04-23,no,4,i3,Windows,8,2015,,10
113,114,vostro,asia,2015-04-24,no,4,i3,linux,4,2015,,8
114,115,vostro,asia,2015-04-25,no,4,i5,Windows,4,2015,,10
